Date,ATVI,ADBE,AKAM,ALTR,AMZN,AMGN,AAPL,ADSK,BBBY,BIIB,INTC,CHRW,LEAP,CELG,FMCN,CHKP,CTAS,CSCO,COST,DELL,DISH,EBAY,EXPD,FAST,FLIR,GRMN,GOOG,HSIC,INFY,INTU,ISRG,KLAC,QCOM,LOGI,TEVA,MNST,NTAP,NVDA,ORCL,PDCO,WYNN,XLNX,SIRI,CMCSA,MSFT,MCHP,VRSN,VMED,^IXIC
2007-12-31,14.850000381469727,42.72999954223633,34.599998474121094,,92.63999938964844,46.439998626708984,28.297142028808594,49.7599983215332,29.389999389648438,56.91999816894531,26.65999984741211,54.119998931884766,46.63999938964844,23.104999542236328,56.810001373291016,21.959999084472656,33.619998931884766,27.06999969482422,69.76000213623047,,37.720001220703125,13.968854904174805,44.68000030517578,10.104999542236328,31.299999237060547,97.0,344.44891357421875,24.078432083129883,5.670000076293945,31.610000610351562,107.66666412353516,48.15999984741211,39.349998474121094,36.63999938964844,46.47999954223633,7.381666660308838,24.959999084472656,34.02000045776367,22.579999923706055,33.95000076293945,112.12999725341797,21.8700008392334,3.0299999713897705,9.130000114440918,35.599998474121094,31.420000076293945,37.61000061035156,17.139999389648438,2652.280029296875
2008-01-02,14.21500015258789,41.709999084472656,33.20000076293945,,96.25,46.599998474121094,27.834285736083984,48.2400016784668,28.360000610351562,55.869998931884766,25.350000381469727,51.880001068115234,43.209999084472656,23.149999618530273,57.130001068115234,21.8700008392334,32.349998474121094,26.540000915527344,68.13999938964844,,32.099998474121094,13.67424201965332,43.4900016784668,9.737500190734863,31.1299991607666,92.0999984741211,341.315673828125,23.24313735961914,5.553750038146973,31.1299991607666,107.98332977294922,46.540000915527344,38.38999938964844,36.16999816894531,47.0,7.196666717529297,24.6200008392334,33.0099983215332,22.489999771118164,33.099998474121094,109.37999725341797,21.1200008392334,3.049999952316284,8.850000381469727,35.220001220703125,30.459999084472656,37.16999816894531,16.850000381469727,2609.6298828125
2008-01-03,13.96500015258789,41.790000915527344,34.13999938964844,,95.20999908447266,45.689998626708984,27.847143173217773,47.84000015258789,27.399999618530273,56.29999923706055,24.670000076293945,51.95000076293945,42.43000030517578,24.924999237060547,58.97999954223633,22.579999923706055,32.970001220703125,26.75,67.12000274658203,,33.16999816894531,13.821548461914062,43.560001373291016,9.6225004196167,31.700000762939453,90.94999694824219,341.3854064941406,23.356863021850586,5.486249923706055,30.969999313354492,107.25,45.810001373291016,37.900001525878906,36.20000076293945,48.720001220703125,7.150000095367432,25.049999237060547,32.75,23.110000610351562,33.59000015258789,105.68000030517578,21.010000228881836,3.1500000953674316,8.670000076293945,35.369998931884766,30.459999084472656,37.119998931884766,16.280000686645508,2602.679931640625
2008-01-04,13.920000076293945,40.36000061035156,32.0,,88.79000091552734,44.79999923706055,25.72142791748047,45.70000076293945,26.190000534057617,55.220001220703125,22.670000076293945,49.970001220703125,39.27000045776367,24.825000762939453,55.709999084472656,21.770000457763672,31.610000610351562,26.1200008392334,65.6500015258789,,33.47999954223633,13.17340087890625,41.209999084472656,9.397500038146973,30.5,88.44999694824219,327.2732849121094,23.10588264465332,5.263750076293945,30.1299991607666,101.66666412353516,43.52000045776367,37.029998779296875,33.959999084472656,47.83000183105469,6.916666507720947,24.389999389648438,30.0,22.030000686645508,33.209999084472656,105.19999694824219,20.360000610351562,3.119999885559082,8.420000076293945,34.380001068115234,29.84000015258789,35.81999969482422,15.6899995803833,2504.64990234375
2008-01-07,13.994999885559082,40.2400016784668,31.600000381469727,,88.81999969482422,45.38999938964844,25.37714195251465,46.720001220703125,26.34000015258789,59.220001220703125,22.8799991607666,50.619998931884766,37.84000015258789,25.2450008392334,56.13999938964844,21.459999084472656,32.470001220703125,26.1299991607666,65.9800033569336,,31.979999542236328,12.811448097229004,41.45000076293945,9.332500457763672,30.829999923706055,85.93000030517578,323.41278076171875,23.113725662231445,5.37375020980835,31.3799991607666,99.99333190917969,43.189998626708984,36.45000076293945,32.65999984741211,47.90999984741211,6.918333530426025,22.90999984741211,26.899999618530273,22.25,34.06999969482422,104.22000122070312,20.459999084472656,2.940000057220459,8.5,34.61000061035156,29.950000762939453,34.86000061035156,14.430000305175781,2499.4599609375
2008-01-08,13.765000343322754,39.220001220703125,29.469999313354492,,87.87999725341797,46.33000183105469,24.464284896850586,44.81999969482422,25.989999771118164,55.970001220703125,22.260000228881836,47.36000061035156,40.15999984741211,24.80500030517578,56.20909881591797,20.850000381469727,31.100000381469727,25.43000030517578,64.97000122070312,,31.299999237060547,12.630471229553223,40.5,8.914999961853027,30.559999465942383,80.19999694824219,314.66058349609375,23.615686416625977,5.246250152587891,30.549999237060547,90.57666778564453,41.88999938964844,35.9900016784668,31.790000915527344,49.2599983215332,7.128333568572998,22.280000686645508,27.469999313354492,21.149999618530273,32.68000030517578,104.5,19.700000762939453,2.9800000190734863,8.3100004196167,33.45000076293945,28.799999237060547,34.060001373291016,14.529999732971191,2440.510009765625
2008-01-09,13.765000343322754,39.459999084472656,29.219999313354492,,85.22000122070312,47.650001525878906,25.628570556640625,44.38999938964844,26.25,58.400001525878906,22.75,48.09000015258789,41.33000183105469,25.75,56.130001068115234,21.6299991607666,32.2400016784668,26.239999771118164,67.2699966430664,,30.299999237060547,12.571548461914062,40.5,9.0600004196167,30.540000915527344,75.98999786376953,325.3804016113281,23.933332443237305,5.355000019073486,30.709999084472656,87.87999725341797,42.540000915527344,37.790000915527344,31.059999465942383,49.650001525878906,7.308333396911621,22.920000076293945,28.889999389648438,21.610000610351562,33.869998931884766,108.26000213623047,20.0,2.8499999046325684,8.529999732971191,34.439998626708984,29.030000686645508,35.08000183105469,13.640000343322754,2474.550048828125
2008-01-10,14.015000343322754,39.25,28.030000686645508,,84.26000213623047,47.560001373291016,25.431428909301758,44.65999984741211,26.639999389648438,59.18000030517578,22.540000915527344,48.43000030517578,42.88999938964844,26.399999618530273,55.2400016784668,21.34000015258789,31.93000030517578,26.239999771118164,69.86000061035156,,30.31999969482422,12.777777671813965,40.630001068115234,9.010000228881836,30.969999313354492,78.0,322.157470703125,24.129411697387695,5.355000019073486,30.889999389648438,89.20999908447266,42.720001220703125,37.9900016784668,33.06999969482422,47.40999984741211,7.5316667556762695,22.860000610351562,28.290000915527344,21.68000030517578,33.34000015258789,108.98999786376953,20.139999389648438,2.890000104904175,8.609999656677246,34.33000183105469,29.0,35.59000015258789,13.640000343322754,2488.52001953125
2008-01-11,13.569999694824219,38.04999923706055,27.520000457763672,,81.08000183105469,47.619998931884766,24.670000076293945,43.18000030517578,26.139999389648438,59.02000045776367,21.989999771118164,47.45000076293945,42.2599983215332,27.135000228881836,54.95000076293945,21.18000030517578,31.5,25.8700008392334,66.43000030517578,,30.399999618530273,12.491582870483398,40.56999969482422,8.672499656677246,30.1200008392334,71.4000015258789,317.9333190917969,23.898038864135742,5.017499923706055,30.299999237060547,87.39666748046875,41.810001373291016,38.630001068115234,30.690000534057617,47.97999954223633,7.188333511352539,22.8799991607666,27.049999237060547,21.100000381469727,33.470001220703125,102.54000091552734,19.520000457763672,2.930000066757202,8.5600004196167,33.90999984741211,28.31999969482422,34.66999816894531,13.869999885559082,2439.93994140625
2008-01-14,13.550000190734863,38.47999954223633,28.3799991607666,,82.87000274658203,47.93000030517578,25.540000915527344,44.31999969482422,26.65999984741211,59.97999954223633,23.079999923706055,48.36000061035156,45.04999923706055,26.989999771118164,55.439998626708984,21.780000686645508,31.950000762939453,26.290000915527344,64.70999908447266,,29.6200008392334,12.302188873291016,42.27000045776367,9.020000457763672,30.56999969482422,69.98999786376953,325.6892395019531,24.058822631835938,5.043749809265137,30.510000228881836,88.5633316040039,42.810001373291016,40.0,31.489999771118164,47.459999084472656,7.224999904632568,23.489999771118164,28.850000381469727,22.059999465942383,33.560001373291016,100.94999694824219,19.829999923706055,2.8499999046325684,8.835000038146973,34.38999938964844,29.739999771118164,34.310001373291016,14.239999771118164,2478.300048828125
